full_address,latitude,longitude,location_type
"85 5TH AVE FL 8, NEW YORK, NY 10003, USA",40.7373074,-73.9922382,ROOFTOP
"233 PARK AVE S, NEW YORK, NY 10003, USA",40.7374674,-73.9879206,ROOFTOP
"25 WATERSIDE PLZ, NEW YORK, NY 10010, USA",40.7375525,-73.9737789,ROOFTOP
"203 W 12TH ST, NEW YORK, NY 10011, USA",40.73758429999999,-74.0010379,ROOFTOP
"340 E 24TH ST, NEW YORK, NY 10010, USA",40.7376441,-73.9788312,ROOFTOP
"40 WATERSIDE PLZ APT 8L, NEW YORK, NY 10010, USA",40.7377931,-73.97362509999999,ROOFTOP
"30 WATERSIDE PLZ, NEW YORK, NY 10010, USA",40.7378223,-73.9729358,ROOFTOP
"200 W 13TH ST, NEW YORK, NY 10011, USA",40.7378675,-74.0008189,ROOFTOP
"345 E 24TH ST, NEW YORK, NY 10010, USA",40.73792539999999,-73.9784116,GEOMETRIC_CENTER
"44 GRAMERCY PARK N, NEW YORK, NY 10010, USA",40.7379766,-73.9847353,ROOFTOP
"208 W 13TH ST, NEW YORK, NY 10011, USA",40.7380516,-74.0010779,ROOFTOP
"234 E 23RD ST, NEW YORK, NY 10010, USA",40.7380589,-73.9817831,ROOFTOP
"250 PARK AVE S, NEW YORK, NY 10003, USA",40.7382621,-73.98821989999999,ROOFTOP
"216 E 23RD ST, NEW YORK, NY 10010, USA",40.7383423,-73.9823998,ROOFTOP
"212 E 23RD ST, NEW YORK, NY 10010, USA",40.7383755,-73.9824338,ROOFTOP
"111 5TH AVE, NEW YORK, NY 10003, USA",40.73845350000001,-73.9912046,ROOFTOP
"7 LEXINGTON AVE, NEW YORK, NY 10010, USA",40.7385907,-73.9851379,ROOFTOP
"30 EAST 20TH STREET, NEW YORK, NY 10003, USA",40.7385961,-73.9886551,ROOFTOP
"900 BROADWAY, NEW YORK, NY 10003, USA",40.73885749999999,-73.9895466,ROOFTOP
"462 1ST AVE, NEW YORK, NY 10016, USA",40.7388717,-73.9752894,GEOMETRIC_CENTER
"462 FIRST AVE, NEW YORK, NY 10026, USA",40.7388717,-73.9752894,GEOMETRIC_CENTER
